participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.params,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.positive_szenarios,survey.1.player.treatment_pa,survey.1.player.player_qualityfail_url,survey.1.player.session_variables,survey.1.player.failed_quality_check,survey.1.player.player_complete_url,survey.1.player.feedback,survey.1.player.home_office,survey.1.player.home_office_need,survey.1.player.risk_propensity,survey.1.player.algo_aversion,survey.1.player.teamlead,survey.1.player.hr_job,survey.1.player.pa_heard,survey.1.player.pa_knowledge,survey.1.player.pa_experience,survey.1.player.CON1,survey.1.player.CMB1,survey.1.player.CMB2,survey.1.player.PRS1T1,survey.1.player.PRS1T2,survey.1.player.PRS2T1,survey.1.player.PRS2T2,survey.1.player.PRS3T1,survey.1.player.PRS3T2,survey.1.player.PRS4T1,survey.1.player.PRS4T2,survey.1.player.FRS1T1,survey.1.player.FRS1T2,survey.1.player.FRS2T1,survey.1.player.FRS2T2,survey.1.player.FRS3T1,survey.1.player.FRS3T2,survey.1.player.FRS4T1,survey.1.player.FRS4T2,survey.1.player.ARS1T1,survey.1.player.ARS1T2,survey.1.player.ARS2T1,survey.1.player.ARS2T2,survey.1.player.ARS3T1,survey.1.player.ARS3T2,survey.1.player.ARS4T1,survey.1.player.ARS4T2,survey.1.player.ETHS1T1,survey.1.player.ETHS1T2,survey.1.player.ETHS2T1,survey.1.player.ETHS2T2,survey.1.player.ETHS3T1,survey.1.player.ETHS3T2,survey.1.player.ETHS4T1,survey.1.player.ETHS4T2,survey.1.player.PROS1T1,survey.1.player.PROS1T2,survey.1.player.PROS2T1,survey.1.player.PROS2T2,survey.1.player.PROS3T1,survey.1.player.PROS3T2,survey.1.player.PROS4T1,survey.1.player.PROS4T2,survey.1.group.id_in_subsession,survey.1.subsession.round_number
11,ik8f9jlh,6438b6ee0715799f959089aa,0,13,13,survey,End,2023-11-14 10:29:17.141156,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,11,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,1,6,5,1,0,1,1,1,6,5,3,3,6,3,5,4,7,7,2,6,5,2,6,2,6,6,4,7,4,3,3,5,4,4,5,5,3,5,4,5,3,3,4,6,4,4,4,4,2,1,6,1,1
12,yyrigxkb,65170d2924df1aca5e1b075b,0,13,13,survey,End,2023-11-14 10:30:31.141610,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,12,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,Nice study. I'm not really sure where the ethnical part comes from. I don't think that this was necessary and hard to answer with the information given,3,1,6,5,1,0,0,0,0,6,7,4,1,6,3,5,5,5,3,5,2,7,2,7,7,7,2,6,6,3,4,4,5,5,3,5,4,4,5,4,4,4,5,4,6,5,5,5,6,6,4,5,1,1
13,eqa29psx,63654ffcb5be6a22178d982a,0,13,13,survey,End,2023-11-14 10:32:51.888453,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,13,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,7,6,1,1,0,0,0,6,5,2,1,5,5,3,2,6,2,7,6,5,3,5,6,3,6,7,6,5,2,5,7,3,6,7,7,4,2,6,7,2,6,6,6,6,3,7,6,3,7,6,1,1
14,ykl6eo6p,63cfa22c2f0dbd0f7203695f,0,13,13,survey,End,2023-11-14 10:37:49.545980,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,14,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,5,7,1,1,1,1,0,6,2,4,3,5,3,5,4,5,3,6,5,6,6,6,5,6,2,6,5,3,5,5,4,5,3,6,5,4,5,4,5,5,3,5,6,5,5,3,5,5,3,5,1,1
15,pzv3dcmv,653a69022eb52762a99cdc22,0,13,13,survey,End,2023-11-14 10:39:31.928950,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,15,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,7,6,1,0,1,1,0,6,6,1,2,5,2,5,4,5,4,6,6,6,1,1,4,3,7,7,5,4,5,3,4,3,2,5,5,5,5,3,4,3,3,5,5,5,5,3,4,3,3,5,1,1
16,3mbh3b3o,652d579562534eea9bbd7337,0,13,13,survey,End,2023-11-14 10:40:29.696913,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,16,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,1,6,1,0,1,1,1,6,7,6,2,7,6,6,5,5,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1,1
17,wsfy495n,6518491025392d885ba728a3,0,13,13,survey,End,2023-11-14 10:45:45.935945,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,17,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,7,2,1,0,1,1,0,6,7,1,2,5,3,7,3,4,3,5,3,6,3,6,3,5,3,5,6,5,5,2,5,4,2,6,6,5,5,2,5,4,3,5,6,6,5,2,5,4,3,5,1,1
18,kxn1di1s,653d475585154bd1870fc810,0,13,13,survey,End,2023-11-14 10:47:00.083360,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,18,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,8,5,1,1,1,0,0,6,6,2,2,5,2,7,2,5,7,2,2,6,5,2,5,5,5,5,3,6,6,2,6,5,2,6,3,5,5,1,6,5,5,5,3,6,6,3,5,6,2,5,1,1
19,cqxtgnwl,5f32d5f107d49607c3f6cf7a,0,13,13,survey,End,2023-11-14 10:47:54.174144,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,19,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,1,8,6,1,1,1,1,0,6,1,1,3,4,3,5,3,4,6,3,7,7,1,1,3,5,7,7,5,6,6,3,5,5,3,7,5,5,6,5,5,5,4,7,5,6,6,4,5,5,3,7,1,1
20,doma8lio,5a7fab56f49c9a0001f3549e,0,13,13,survey,End,2023-11-14 10:53:56.117027,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,20,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,7,5,1,1,1,1,1,6,4,2,2,5,3,6,2,5,7,2,7,4,2,7,7,6,3,7,7,5,6,6,6,4,2,6,7,4,4,7,7,6,1,7,7,4,7,7,6,6,2,7,1,1
21,tcv3s04s,653671ae2ac8d502b52b1bb3,0,13,13,survey,End,2023-11-14 10:55:58.613301,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,21,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,1,7,3,1,0,1,1,1,6,7,4,2,5,2,6,3,3,2,6,5,7,3,7,3,6,2,6,6,6,6,6,5,5,3,5,6,6,6,3,5,5,3,5,6,6,6,6,5,5,3,5,1,1
22,63uc7n29,63c33a62f56571779a295a6f,0,13,13,survey,End,2023-11-14 11:04:17.921240,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,22,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,1,6,6,1,0,0,0,0,6,3,5,2,6,5,5,5,6,4,6,5,6,6,7,6,6,5,6,5,6,6,7,6,5,3,5,6,4,6,6,5,5,3,5,6,4,6,6,5,6,3,5,1,1
23,ypfzlvp1,604b169fe4b7991ec08da3a6,0,1,13,survey,Landing,2023-11-14 11:11:38.261029,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,23,,0.0,1_and_4,2_and_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
24,i2ftxyl3,645fe6eae828176c7709f11b,0,13,13,survey,End,2023-11-14 11:13:01.892711,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,24,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,1,5,7,1,0,0,0,1,6,4,4,3,6,3,5,5,5,6,6,5,6,5,6,6,6,6,6,4,5,5,5,5,6,5,6,4,4,2,3,5,6,5,5,6,6,5,5,5,6,5,5,1,1
25,35wynac4,637e1da154dddf50b9d82c82,0,13,13,survey,End,2023-11-14 11:18:52.497877,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,25,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,6,5,1,0,1,1,1,6,2,4,3,6,2,7,5,5,3,6,5,7,3,7,7,7,7,7,7,5,3,4,5,6,3,6,7,7,4,5,5,5,4,6,6,5,5,3,6,6,2,5,1,1
26,fvo37nn5,5c3b07f0688b59000102d44e,0,13,13,survey,End,2023-11-14 11:26:58.801148,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,26,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,6,4,1,0,1,1,0,6,6,2,2,5,5,7,6,6,6,6,3,6,5,7,6,7,6,6,5,5,6,3,5,5,6,6,4,5,6,3,5,5,4,5,5,5,6,4,6,6,5,6,1,1
27,kwlkrfw3,647e2500ac34cb60b8e1348d,0,13,13,survey,End,2023-11-14 11:50:54.252823,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,27,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,7,3,1,0,1,1,0,6,5,2,2,4,2,6,4,4,6,3,6,7,3,6,6,6,6,6,6,6,6,2,6,6,5,6,6,6,6,4,6,6,4,6,6,6,6,2,6,6,5,6,1,1
28,gwpmwe9m,5f23274c95e7ff0ba6391a95,0,13,13,survey,End,2023-11-14 11:54:19.849189,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,28,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,3,1,8,6,1,0,1,1,0,6,5,2,3,5,3,5,4,4,3,5,2,3,2,6,5,6,2,5,4,5,5,3,5,4,4,4,3,5,4,4,4,4,3,3,3,4,5,4,4,3,4,4,1,1
29,9ix2xgl3,6467da9866656b457f1f35ae,0,13,13,survey,End,2023-11-14 11:58:15.533032,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,29,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,8,4,1,1,0,0,0,6,7,1,1,6,1,7,2,6,4,6,7,7,1,5,1,6,4,5,6,7,2,5,1,5,4,5,6,6,2,5,2,5,5,6,6,6,2,6,2,5,5,6,1,1
30,krpxq97a,653a743f3112ad79e0e9c2f3,0,13,13,survey,End,2023-11-14 11:58:21.740095,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,30,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,1,8,6,1,0,1,1,0,6,5,3,2,5,3,5,4,4,7,3,3,6,3,7,6,6,7,3,5,4,6,3,5,3,1,7,5,3,6,2,4,2,2,6,6,5,6,4,5,5,1,7,1,1
31,cb34pwke,648099f11700d769a2e9034a,0,13,13,survey,End,2023-11-14 12:08:53.348290,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,31,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,1,6,5,1,0,1,1,1,6,6,2,2,6,3,5,2,5,5,6,4,6,5,7,5,7,6,5,6,7,6,3,6,3,3,5,6,3,6,2,6,3,3,5,6,4,6,3,6,3,3,5,1,1
32,1ma5mzcw,6516f2a7d21c67a9a5bbb6ca,0,13,13,survey,End,2023-11-14 12:10:45.317927,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,32,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,7,3,1,1,1,1,0,6,5,2,3,5,3,6,3,6,2,6,3,2,3,6,5,5,6,2,5,5,5,5,5,2,6,1,5,5,5,3,5,2,6,1,5,5,5,4,5,4,7,1,1,1
33,hgwjepij,5d6fda2bde432b0019b19ba7,0,13,13,survey,End,2023-11-14 12:19:05.658373,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,33,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,1,3,6,1,0,1,1,0,6,6,4,1,5,3,6,3,4,7,5,6,6,4,7,5,7,4,7,7,6,6,4,6,5,4,7,7,7,6,5,6,5,4,7,7,6,5,4,6,5,4,7,1,1
34,efunuyl5,5ad477fc4d061300011b28ab,0,13,13,survey,End,2023-11-14 12:25:26.892291,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,34,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,3,5,1,0,1,1,0,6,6,3,2,5,4,4,5,4,3,4,5,6,4,6,5,5,5,4,6,3,4,6,4,4,4,5,5,4,4,4,4,4,4,4,5,5,6,5,4,4,4,4,1,1
35,842n20yj,63c08fa9f3882764b4e8e7dd,0,13,13,survey,End,2023-11-14 12:49:21.829250,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,35,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,7,5,1,0,0,0,0,6,2,4,1,5,1,7,1,7,3,7,3,7,1,6,1,6,2,7,5,4,5,4,5,4,3,4,6,4,5,4,6,3,3,4,6,4,5,4,6,4,3,4,1,1
36,9x1vmvjp,651d24fb72134a07d2708049,0,10,13,survey,QualityFail,2023-11-14 12:57:27.936289,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,36,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,1,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,,,,,,,,,,7,,,3,5,2,6,1,6,4,7,3,5,6,7,5,7,2,5,4,5,5,4,4,5,1,6,4,5,6,4,4,5,1,5,3,5,7,3,5,4,1,7,1,1
37,uiskwxvb,5b2285b50fbb830001080525,0,13,13,survey,End,2023-11-14 13:05:53.088315,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,37,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,1,4,5,1,0,0,0,0,6,4,5,2,5,2,7,4,4,5,5,5,6,2,6,5,6,2,6,7,5,6,3,6,5,5,6,7,6,6,4,7,5,5,6,7,6,6,4,7,5,5,6,1,1
38,giwxxk8o,63eb720c64d95ef6918080f4,0,13,13,survey,End,2023-11-14 13:36:42.454184,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,38,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,7,2,1,0,0,0,0,6,6,1,1,5,1,6,1,7,1,7,7,7,7,6,7,7,7,5,7,7,7,3,7,5,7,1,7,7,7,3,7,5,7,1,7,7,7,5,7,3,7,1,1,1
39,xtfbgo80,6551f5f603b4710f1a943877,0,13,13,survey,End,2023-11-14 13:40:57.872697,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,39,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,1,8,5,1,0,1,1,0,6,5,4,6,4,2,6,4,4,6,5,5,6,2,7,5,5,5,6,5,6,7,2,6,6,5,6,5,6,7,2,6,6,6,6,5,6,7,2,6,6,5,7,1,1
40,v2g5s4wm,653d060aaf01dfc1443ad299,0,13,13,survey,End,2023-11-14 13:51:09.444770,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,40,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,"It was very fun and interesting, no need for improvement :)",1,0,10,7,1,0,1,1,0,6,5,1,5,3,5,5,2,2,2,6,1,5,2,7,7,7,7,7,3,5,4,7,5,6,2,7,2,5,4,7,4,6,2,7,2,5,5,7,5,6,2,7,1,1
41,z41zah0r,63dea9d9fe7d5a66adf82aa6,0,13,13,survey,End,2023-11-14 13:59:15.929721,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,41,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,1,0,6,5,0,0,1,1,0,6,7,4,1,5,2,6,4,4,1,6,6,7,2,6,6,6,2,6,7,6,6,5,6,6,1,7,7,6,6,5,6,6,1,6,7,6,6,5,6,6,1,6,1,1
42,blhtz49j,5d14bd7a49a18f0001e1e8b4,0,13,13,survey,End,2023-11-14 14:00:31.868205,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,42,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,6,4,0,0,0,0,0,6,5,4,3,5,2,6,4,5,7,3,5,6,3,3,3,3,7,6,5,5,3,3,3,3,1,5,5,5,3,3,3,3,1,5,5,5,3,3,3,3,1,5,1,1
43,1slq488l,,0,0,13,,,,0,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,43,,0.0,1_and_4,2_and_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
44,hun367jl,,0,0,13,,,,0,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,44,,0.0,2_and_3,2_and_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
