participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.params,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.positive_szenarios,survey.1.player.treatment_pa,survey.1.player.player_qualityfail_url,survey.1.player.session_variables,survey.1.player.failed_quality_check,survey.1.player.player_complete_url,survey.1.player.feedback,survey.1.player.home_office,survey.1.player.home_office_need,survey.1.player.risk_propensity,survey.1.player.algo_aversion,survey.1.player.teamlead,survey.1.player.hr_job,survey.1.player.pa_heard,survey.1.player.pa_knowledge,survey.1.player.pa_experience,survey.1.player.CON1,survey.1.player.CMB1,survey.1.player.CMB2,survey.1.player.PRS1T1,survey.1.player.PRS1T2,survey.1.player.PRS2T1,survey.1.player.PRS2T2,survey.1.player.PRS3T1,survey.1.player.PRS3T2,survey.1.player.PRS4T1,survey.1.player.PRS4T2,survey.1.player.FRS1T1,survey.1.player.FRS1T2,survey.1.player.FRS2T1,survey.1.player.FRS2T2,survey.1.player.FRS3T1,survey.1.player.FRS3T2,survey.1.player.FRS4T1,survey.1.player.FRS4T2,survey.1.player.ARS1T1,survey.1.player.ARS1T2,survey.1.player.ARS2T1,survey.1.player.ARS2T2,survey.1.player.ARS3T1,survey.1.player.ARS3T2,survey.1.player.ARS4T1,survey.1.player.ARS4T2,survey.1.player.ETHS1T1,survey.1.player.ETHS1T2,survey.1.player.ETHS2T1,survey.1.player.ETHS2T2,survey.1.player.ETHS3T1,survey.1.player.ETHS3T2,survey.1.player.ETHS4T1,survey.1.player.ETHS4T2,survey.1.player.PROS1T1,survey.1.player.PROS1T2,survey.1.player.PROS2T1,survey.1.player.PROS2T2,survey.1.player.PROS3T1,survey.1.player.PROS3T2,survey.1.player.PROS4T1,survey.1.player.PROS4T2,survey.1.group.id_in_subsession,survey.1.subsession.round_number
11,zk383ne9,6522b3f0535f2d5e3fb75188,0,13,13,survey,End,2023-11-14 21:19:05.268946,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,11,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,0,10,7,1,0,1,1,0,6,4,1,1,5,1,7,1,7,7,7,1,7,1,7,1,7,7,7,1,7,3,7,7,7,4,7,1,7,3,7,7,7,4,7,3,7,7,6,7,7,1,7,1,1
12,spe0bou8,5ec3f04b131a0b09ebac091d,0,13,13,survey,End,2023-11-14 21:19:21.213512,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,12,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,2,0,4,6,1,0,1,1,1,6,1,1,4,4,6,2,6,6,2,6,7,7,7,7,7,7,7,6,6,6,7,2,7,7,2,7,6,6,7,2,7,7,2,7,6,6,7,2,7,6,2,7,1,1
13,aolcca6b,63eb5736f318e7a0cf769f06,0,13,13,survey,End,2023-11-14 21:20:32.558515,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,13,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,0,7,5,0,0,0,0,0,6,5,2,1,4,2,5,1,3,5,5,5,7,2,6,7,7,4,6,7,5,5,4,6,5,4,6,7,6,6,5,6,6,5,7,7,6,5,5,7,6,3,5,1,1
14,n0v140s8,6542154ea897aa5198b407bb,0,10,13,survey,QualityFail,2023-11-14 21:30:37.974306,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,14,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,1,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,,,,,,,,,,3,,,3,5,2,6,2,6,3,5,5,6,3,7,6,3,6,3,5,6,5,5,5,2,6,2,4,3,6,3,6,1,6,1,4,5,6,3,6,2,5,2,1,1
15,umi2ae2r,5f247ac02b2b8805b6cce266,0,13,13,survey,End,2023-11-14 21:34:12.681638,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,15,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,0,6,6,1,0,0,0,0,6,1,1,3,5,5,7,4,4,4,7,5,6,6,7,3,4,7,7,5,6,6,7,3,3,7,1,5,6,6,4,3,3,7,1,5,6,6,5,3,3,7,1,1,1
16,ot0ahn70,6537d0d238ce085ea079c318,0,13,13,survey,End,2023-11-14 21:35:40.272360,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,16,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,1,7,5,1,0,1,1,0,6,5,4,3,5,2,6,5,3,6,2,5,6,4,7,6,6,6,5,5,4,6,3,4,6,3,6,4,4,6,4,5,6,4,6,5,4,6,4,5,6,3,6,1,1
17,hc7t3stz,6404cb13d8157726927f4457,0,13,13,survey,End,2023-11-14 21:38:16.817320,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,17,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,6,7,1,1,1,1,0,6,4,3,2,6,1,7,5,5,5,7,3,7,5,7,7,7,5,7,7,3,7,1,5,6,1,7,4,4,6,3,5,6,2,7,6,5,7,2,4,4,1,7,1,1
18,ibvoc6sm,63b7184e9e1b04851f3a3f0b,0,13,13,survey,End,2023-11-14 21:43:16.472705,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,18,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,Thanks for the experience.  I think there was a slight mistake on the Scenario 4.,1,0,8,3,1,1,1,1,0,6,6,7,5,1,1,7,1,6,1,7,5,7,2,7,7,7,7,7,7,6,7,1,7,5,1,7,7,2,7,1,7,2,1,7,5,6,7,1,7,3,1,7,1,1
19,p2c1n5hi,5ee7fbc114d0a60f9b076fb6,0,13,13,survey,End,2023-11-14 21:44:23.145423,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,19,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,1,5,5,1,0,0,0,0,6,7,3,3,5,3,6,4,4,4,6,5,6,3,6,3,7,7,3,5,6,5,7,5,6,6,4,5,6,6,4,5,5,6,4,5,5,6,5,5,5,6,4,1,1
20,wri452zu,6522adda0dbf3470118625b8,0,13,13,survey,End,2023-11-14 22:14:01.272241,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,20,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,2,6,1,0,0,0,0,6,7,1,3,5,3,5,3,6,6,3,6,6,6,5,6,5,3,5,6,6,5,5,6,6,3,5,6,6,5,5,6,6,3,5,6,6,5,5,4,6,3,6,1,1
21,sc6h9v66,65216081309ddac9a26e5d3a,0,13,13,survey,End,2023-11-14 22:19:24.681749,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,21,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,3,1,3,4,1,0,1,1,1,6,7,1,1,5,1,7,4,7,1,7,7,6,1,7,1,6,7,7,7,6,4,4,5,6,7,7,4,4,4,4,4,4,4,4,7,6,7,2,4,5,7,7,1,1
22,p88rxesf,5b9f72f400815d000103226b,0,3,13,survey,SzenarioOneOutcome,2023-11-14 22:35:19.349803,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,22,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
23,1opepm7p,63f6216fd56701af4b7188f4,0,13,13,survey,End,2023-11-14 22:55:14.282469,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,23,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,1,7,4,1,0,0,0,0,6,7,5,2,5,3,5,2,4,7,3,7,7,7,7,7,7,7,7,7,5,7,3,7,4,2,7,7,5,7,4,7,4,3,7,7,6,7,7,7,5,2,7,1,1
24,fomhzkbt,6553a5d912306991aa2adb8c,0,10,13,survey,QualityFail,2023-11-14 23:19:30.229845,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,24,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,1,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,,,,,,,,,,2,,,2,5,2,6,4,4,4,4,5,5,4,4,5,4,4,6,3,3,5,5,4,4,1,3,4,4,3,3,3,6,4,5,7,5,5,5,5,4,4,7,1,1
25,5drw5d2g,64f0b6eb12ae939555a37a89,0,13,13,survey,End,2023-11-15 00:53:01.138249,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,25,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,2,1,7,5,1,0,1,1,0,6,6,3,2,6,2,6,5,2,2,5,2,4,5,4,5,5,4,5,6,5,1,4,4,5,4,4,6,4,3,3,5,4,4,5,5,3,4,5,5,4,5,4,1,1
26,in2a7v6o,646f3d6f312e8a3ef1e36317,0,13,13,survey,End,2023-11-15 05:46:44.747800,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,26,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,2,1,6,4,0,0,0,0,0,6,6,3,2,5,3,6,5,5,5,6,3,6,5,6,6,6,2,6,6,6,7,3,7,7,3,6,7,7,7,5,7,7,3,7,7,7,7,5,7,7,4,5,1,1
27,corltfqz,6516fe7787524218d0060724,0,13,13,survey,End,2023-11-15 06:12:54.104644,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,27,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,"The information given in the scenarios does not suffice to realistically answer the questions. In reality there might be good reasons for decisions either way, so it can not be judged which one is more professional, ethical etc.",1,1,10,7,1,1,0,0,0,6,6,6,1,4,2,4,4,4,3,3,6,6,5,5,5,5,6,5,6,6,6,4,5,5,6,5,4,4,5,4,4,4,4,4,5,6,5,4,5,5,5,5,1,1
28,e08asqlc,654fd7a035943da5607fc3be,0,10,13,survey,QualityFail,2023-11-15 07:03:12.361824,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,28,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,1,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,,,,,,,,,,5,,,3,5,2,5,5,6,7,5,5,5,5,6,4,6,5,6,3,4,5,5,5,5,2,6,5,4,5,5,4,5,3,5,4,4,4,5,4,5,3,6,1,1
29,dt4tf69t,6516d3dbe0419fb11b7cd51a,0,13,13,survey,End,2023-11-15 09:06:10.846309,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,29,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,3,1,3,6,1,1,1,1,1,6,4,4,1,6,2,6,4,4,2,6,1,7,2,7,5,7,2,7,5,5,5,2,5,2,3,6,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,1
30,g333nogw,5f75986c7befb820e5497fe2,0,13,13,survey,End,2023-11-15 09:15:04.958942,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,30,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,interesting,1,0,4,4,1,0,1,1,0,6,7,1,1,5,2,6,4,4,4,6,3,5,4,6,5,5,5,3,5,5,5,3,5,5,5,3,5,5,5,4,5,5,5,4,4,5,5,4,5,5,6,3,1,1
31,8neno2td,65084ddca149f0a5b05bf898,0,13,13,survey,End,2023-11-15 09:39:43.334679,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,31,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,7,6,1,0,0,0,1,6,5,2,2,6,3,6,4,5,2,7,6,7,1,6,6,7,7,7,6,5,4,3,5,3,7,2,6,6,4,4,4,4,6,3,6,6,5,4,4,4,7,2,1,1
32,h1gdrys2,6523c784b6e31e2a3b14a5a8,0,13,13,survey,End,2023-11-15 09:55:02.149692,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,32,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,3,1,7,4,1,0,1,1,1,6,6,2,3,5,2,6,3,5,2,6,6,7,2,6,6,6,6,5,4,4,5,3,6,6,3,7,4,4,4,4,4,4,4,4,5,6,6,4,5,5,3,6,1,1
33,eueiz6td,627c9adcf5e3579f7b45be06,0,13,13,survey,End,2023-11-15 10:00:31.987402,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,33,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,6,3,1,0,1,1,1,6,5,1,1,6,1,6,2,5,5,5,3,6,2,6,5,5,6,2,6,3,6,3,5,3,4,4,6,5,6,5,6,5,5,5,6,5,6,3,6,3,5,5,1,1
34,yw0huhfh,6543bf66478b16861be1dea1,0,10,13,survey,QualityFail,2023-11-15 10:12:47.253095,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,34,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,1,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,,,,,,,,,,4,,,4,4,3,6,4,4,3,6,3,6,5,7,4,5,4,7,4,4,6,3,4,4,3,6,4,4,6,4,4,4,3,5,2,4,7,2,4,2,2,5,1,1
35,qib4ynzj,627f033269b60861f26e118c,0,13,13,survey,End,2023-11-15 10:46:41.149601,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,35,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,3,8,5,1,0,1,1,1,6,7,4,1,6,2,6,1,6,7,1,6,6,7,7,7,7,7,7,6,6,7,7,7,3,2,7,4,4,7,7,7,7,4,7,6,5,7,1,7,2,1,7,1,1
36,27pqx5i8,63d4fe50fa970b0bdecfa2e9,0,13,13,survey,End,2023-11-15 11:01:50.914048,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,36,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,7,5,1,0,1,1,1,6,5,1,1,6,3,7,2,6,1,7,5,5,5,5,7,7,5,6,7,5,6,6,6,6,6,6,6,6,5,6,6,5,5,6,7,5,6,4,6,6,5,2,1,1
37,3tul67ai,60be29be5264e6ed7ff6126b,0,13,13,survey,End,2023-11-15 11:57:18.121057,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,37,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,7,5,0,0,1,0,0,6,7,4,3,5,3,6,3,4,4,7,4,4,4,6,5,5,6,3,6,6,6,3,5,5,7,1,4,4,4,4,4,4,5,4,6,6,6,4,6,6,6,1,1,1
38,ohnvu8hf,6443a6f2e6ba13bcf41782ca,0,13,13,survey,End,2023-11-15 12:29:33.144395,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,38,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,3,1,4,5,1,0,1,1,0,6,7,2,1,7,2,6,3,5,6,6,7,7,6,7,6,7,7,7,6,6,6,3,6,5,6,6,6,6,6,3,6,6,6,6,6,6,6,5,6,6,6,6,1,1
39,rf5psrpj,6522d7796cfef17c92a62206,0,13,13,survey,End,2023-11-15 12:37:04.575169,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,39,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,3,7,7,1,0,0,0,0,6,7,5,1,5,1,6,2,5,7,2,5,7,3,7,5,7,2,6,5,5,5,5,5,5,1,6,5,5,5,5,5,5,2,6,6,6,6,6,5,6,1,7,1,1
40,xfyjlvgv,650c4122f0653d12233a18d9,0,13,13,survey,End,2023-11-15 13:28:23.108148,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,40,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,It was easy to answer the question and click on the right box. But it would've been better if I could do the survey on a smartphone,0,0,10,5,1,0,0,0,0,6,4,1,3,5,4,7,6,5,7,3,1,7,3,7,5,7,7,7,7,5,5,7,5,5,1,4,4,5,3,5,5,6,1,4,1,7,6,7,6,7,1,7,1,1
41,lkpee5r4,5bf7b1fadb80b20001786d99,0,13,13,survey,End,2023-11-15 13:40:15.404271,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,41,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,1,6,5,1,0,0,0,0,6,5,4,3,5,3,5,3,3,2,5,6,6,2,5,5,5,2,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,1,1
42,l3078j86,616f1f088b0e6a0d02c805b0,0,1,13,survey,Landing,2023-11-15 14:00:50.806239,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,42,,0.0,2_and_3,1_and_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
43,5r9pv93b,5fd382ce0da71807dd656c0e,0,13,13,survey,End,2023-11-15 14:17:24.385095,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,43,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,2,3,9,5,1,0,1,1,1,6,3,4,1,5,2,6,3,5,7,1,5,7,2,6,3,5,3,5,6,5,5,4,4,4,3,7,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,6,1,1
44,kzjyxyti,60abc3403e12133c30deb41f,0,13,13,survey,End,2023-11-15 16:11:25.969385,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,44,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,3,6,0,0,1,1,0,6,5,2,2,6,3,6,4,5,5,6,2,6,5,7,6,7,3,6,5,3,6,4,5,5,2,5,4,5,6,3,5,5,3,5,5,5,5,5,5,5,2,5,1,1
